tag	type	old_object	old_target	new_object	new_target	remote
4.3.0	tag	bb72ba893b8fd01ad16a09f5228e69bc0b00aa95	fe9b6cdd5ad2e17580d00ccca88330396fa453e4	3c150f378f21d2d4dbfd46ee41d436998e02877d	a797c264099affa0dfeba316bc96498863e11d3f	yes
4.5.0	tag	20bf63295afd60e4b687a8d94fd9ce4de96ea962	e9a9018f93172cfd2fa9244bec039e794722f410	98aa546bc01c6255fb7c65eed3a1739884052d6c	9c5e7ae2b95ddb487d507f25d129069b418918d5	yes
4.6.0	tag	260aef4c75a89983ef904bc7e1e198efad92a7ae	a8af31e387db5e9a02e71cb0e98f4ee713738ad0	db2f64eef3b1aeac4b9a64fe3884815735985e57	46269fd9f8c84a8f64c99742f7e6bd71f09444c3	yes
4.7.0	tag	f50c8ca03b71e9de7f56402753cea13c9c635ad2	218d447e684818faca278491a66bbf1cadbe2749	e0b066d319b97d36172517b6f0dcfc1a20f32056	1260e7268bd02c938141e3a70436c922500192c2	yes
4.7.1	tag	02b5ec4dad8b81ed3eb8027e9a04301723d4f7fc	381c5c06724a01b6e599821b5030e2d15560af1f	c3cfbd647fd7f3e6bae36b3be918c76c071c6c89	65de6a1d88fc65f0fe8b36c8d90572c6f15fef31	yes
4.7.2	tag	1c12d463ede05884879eacdc3abb60cd341f6424	0e4c06600830e8d3e2adb373dd6a3f18e6592f40	f10ddc5dbb61294b472b5234d2f8df9687dfd924	c7e76d3cb6873b17149019417398eec54b41c294	yes
debug-0817b0bc0f46	commit	0817b0bc0f4665be5399a5d36398c097008435e3	0817b0bc0f4665be5399a5d36398c097008435e3	ce860d1d537b319c613f05336a0f89317fac6fdb	ce860d1d537b319c613f05336a0f89317fac6fdb	no
debug-c594869bcde4	commit	c594869bcde488dfbbe1962fa133556a04004840	c594869bcde488dfbbe1962fa133556a04004840	995ceb94c970693878eec04ca86e9e7979e53f3f	995ceb94c970693878eec04ca86e9e7979e53f3f	no
debug-0e4c06600830	commit	0e4c06600830e8d3e2adb373dd6a3f18e6592f40	0e4c06600830e8d3e2adb373dd6a3f18e6592f40	c7e76d3cb6873b17149019417398eec54b41c294	c7e76d3cb6873b17149019417398eec54b41c294	yes
